"","gene_symbol","Layer1","Layer2","Layer3","Layer4","Layer5","Layer6"
"7097","MAGI2",5.60419277696094,5.98468608104398,5.92974388999718,5.7922429514548,5.69583672924981,5.87745640446708
"7098","GNAI1",6.31013657358169,6.71264928794918,6.50666380965761,6.55266366143867,6.4733032727366,6.81257320933709
"7099","CD36",4.04074893541284,4.44846993174506,4.20647311373011,3.79849523024798,3.5021116779583,3.3374032324002
"7100","SEMA3C",4.66199435388073,5.44011612414193,4.45470109785957,3.56630751804445,3.65446519761769,4.63922892767681
"7101","HGF",2.54303653228156,2.4962513246604,2.3989252606217,2.32649057873819,2.28126154645119,1.93874024399893
"7102","CACNA2D1",5.76785001995957,6.47861666387822,6.10664222259536,5.69253339703167,5.56585570358111,5.78261385707302
"7103","PCLO",6.34002581625353,6.72205886351166,6.75372941545556,6.95250121532854,7.3806817812869,7.28595355745245
"7104","SEMA3E",3.12652200234006,2.00161057320636,2.6894089325146,2.66514979522412,4.66784282778851,5.83028344503413
"7105","SEMA3A",2.80406787720895,2.16309750667449,2.46008022341866,2.31821581829549,2.96992818634811,4.27518003303745
"7106","SEMA3D",0.830285283756974,0.83117105569647,1.22325105263937,1.07252069457556,1.31657602934108,2.38409186643133
"7107","GRM3",6.61699112582583,6.40457726626709,6.93856490067439,6.86063135478931,7.05999261942898,6.80136789512113
"7108","KIAA1324L",4.11502873372863,3.85979926427149,4.41728020416339,4.50253978877639,4.66530721220193,4.51141525478286
"7109","LOC101927420",1.94301040566063,2.37879758573867,2.03100095861672,2.02549145970458,1.76640974514985,1.57081475788274
"7110","DMTF1",4.65029720844119,4.81115508254747,4.53635653295417,4.39996881338583,4.70860656914152,4.76483748335981
"7111","TMEM243",3.61554237162987,3.87793954437831,4.15561145409728,3.95865232696547,3.82087858345784,3.88013594679504
"7112","CROT",3.72103135249777,3.90464838723448,4.02757379101143,3.66248933344387,3.84843893485125,3.79777952263768
"7113","ABCB4",0.646622952608843,0.178496618658084,0.382154100853265,0.401887680036559,0.3799935976284,0.241485903165744
"7114","ABCB1",3.71070103129792,3.28229642308747,3.32548052152594,3.19138453297668,2.76326498456554,2.51284695341768
"7115","RUNDC3B",4.53393775038175,4.97208293691664,4.87203146865689,4.97785700963561,4.83721304453447,4.71597990293136
"7116","SLC25A40",4.59617474769009,4.96139096320329,5.09771046386041,5.16919944289529,5.20566757753509,4.85029783883774
"7117","DBF4",2.43614894221353,2.71419282136487,2.66809610476791,2.24517050909808,2.69471192866839,2.90166722400647
"7118","ADAM22",6.14600610236773,6.62079216400313,6.45259052859299,6.62512447324776,6.39526158616856,6.41885988754023
"7119","SRI",7.81486267462889,7.61171903249809,7.60916962928958,7.56896646214257,7.42311618364818,7.32607059508719
"7120","STEAP4",1.22770927091372,0.8674756435687,1.09191896961393,0.860594391693852,0.791080078705652,1.15586479979478
"7121","ZNF804B",0.178496618658084,0.178496618658084,0.231295213548006,0.178496618658083,0.178496618658083,0.36754164472684
"7122","STEAP1",1.5241762282092,1.91662524036597,2.08748816673453,1.98743938390795,1.68963072154689,2.08709133472865
"7123","STEAP2",5.53704352811783,6.10197429215179,6.11716658451311,6.07298034407202,5.62719190925988,5.42127947039739
"7124","CFAP69",1.96819737670087,2.38979756363375,2.55915109284832,1.59451462258969,2.49778510486467,2.58789730251525
"7125","GTPBP10",3.70246876343526,4.03381025523971,3.83671992010968,4.07077061466825,4.10879244011553,4.23653013828303
"7126","CLDN12",4.67427961182336,5.01873840145781,4.89084172844021,4.89858932986638,4.87261883671189,4.78505188761251
"7127","CDK14",6.27548473713512,6.5301839011551,6.94801395174679,7.24068254447016,7.38314319530762,7.01174883391156
"7128","FZD1",3.47991986573364,3.39288947408742,3.18931822056928,3.46864540806628,3.16078888874042,3.05975872871922
"7129","MTERF1",2.84757410242505,3.04453600851607,3.1437299119628,2.96551587078683,3.1837705961579,3.2304071042099
"7130","AKAP9",6.06697079744685,6.16426228134277,5.96163688067355,5.95953129963772,6.07943093287989,6.01875834950154
"7131","CYP51A1",4.79436631405737,4.76156829924431,4.72159570962177,4.57475551285279,4.58672387091823,4.78686601388603
"7132","LRRD1",0.279940912160248,0.525082698892428,0.570513515588687,0.178496618658083,0.632135658905456,0.273654002309478
"7133","CYP51A1-AS1",0.311761621099399,0.552995638662113,0.363164660028045,0.343619728643336,0.688955631372482,0.414078632918548
"7134","KRIT1",4.63860917495013,5.02711050148823,4.73273959174839,4.77350492472097,4.59983306225443,4.5744222126278
"7135","ANKIB1",5.12388979488549,4.93442993719411,4.79379334770398,4.94106542179116,5.01636534888226,4.8536610024588
"7136","GATAD1",4.82393890304338,4.86443580712894,4.56680187043576,4.28816220017458,4.51512301812366,4.64879360020097
"7137","ERVW-1",0.178496618658084,0.178496618658084,0.213929355538585,0.178496618658083,0.233530511110003,0.178496618658083
"7138","PEX1",3.92980297391917,3.52743401002766,3.77619741800667,3.29705051058956,3.55454771716786,3.39421118366007
"7139","RBM48",4.06485660119677,4.42139006165658,4.56581520221792,4.2674350672519,4.2636775824371,4.40618101140715
"7140","FAM133B",5.51113528598874,5.58550297380816,5.56244992575443,5.36242539983428,5.46496647467915,5.30964760722936
"7141","CDK6",2.31843564777281,2.82539544459767,2.77601741086088,2.49259987911317,2.69978645022069,3.07842772936738
"7142","CDK6-AS1",0.513306029598992,0.949382569014027,0.95204249059497,0.500561716313974,0.802455049944922,0.748139002249101
"7143","SAMD9",1.86145493580427,1.28640876318189,1.12938633755008,0.616650056230352,1.3638680431504,1.3139150381774
"7144","SAMD9L",2.65308785984419,2.33916750270701,2.14758489424559,1.94221948283165,2.03226034309207,2.7480826837712
"7145","HEPACAM2",0.311761621099399,0.270707075243236,0.265961577683457,0.403188627413798,0.37418503245156,0.36111990174059
"7146","VPS50",4.7241986611657,5.51233074361039,5.39875347871303,5.47456578013201,5.58340057539038,5.30628614706351
"7147","CALCR",1.0268656470979,0.89052410423658,0.488026728354606,0.178496618658083,0.233530511110003,0.478708145562678
"7148","TFPI2",1.25335854321524,0.5068080845075,0.933682869224118,0.416716197338627,0.546091354079489,0.991803853128564
"7149","GNG11",5.9768534608302,5.26757221684071,5.22609724465593,5.20906518452355,4.96394086807401,4.97283691707688
"7150","BET1",3.91160173024281,3.95770200370063,3.93865869560274,3.99350553567161,3.99770496646184,3.95887960946588
"7151","COL1A2",7.21915449215491,6.15525745771152,6.30996088401504,6.40863573220788,6.60118743949939,7.28154578158458
"7152","CASD1",5.61717287094284,5.95215005980798,5.93425146687256,6.02900161365936,6.14863737667303,6.05578944579408
"7153","SGCE",5.70342677821684,5.45684457771937,5.34975414470603,5.31434314107866,5.36739308432922,5.33802341584915
"7154","PEG10",6.22871636271927,6.64193644861843,5.98428609022876,5.77535077296595,5.87487410117866,6.02364348285885
"7155","PPP1R9A",5.59197889531587,6.14149434795286,5.95882659979868,5.95266414276984,6.1337064164077,6.03570184573478
"7156","PON1",0.588240376932773,0.499840912741193,0.37510221234364,0.178496618658083,0.178496618658083,0.241485903165744
"7157","PON3",1.41058085411356,0.821187676183796,1.0558065777768,0.433176768196287,0.787294829596078,1.02461378568336
"7158","PON2",7.62360385054993,6.45251590417654,6.34003615045697,6.2854342446602,6.41277908811577,6.49068613669546
